eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417321184170,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532827688,2022042903140887942,2024042417321184170,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13971,71,0,0,0x25112124,2023091414532828552,2022042902461777877,2024042417321185601,864,-679110065,1431,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,1,13970,1,99.992,0.008
1,31,23040015,2024042417321194200,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532837708,2022042903140897972,2024042417321194200,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13972,72,0,0,0x57d8571e,2023091414532838703,2022042902461788024,2024042417321195680,995,-679109948,1480,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13971,1,99.992,0.008
1,31,23040015,2024042417321204212,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532847767,2022042903140907991,2024042417321204212,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13973,73,0,0,0x2ae49bc2,2023091414532848863,2022042902461798195,2024042417321205759,1096,-679109796,1547,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13972,1,99.992,0.008
1,31,23040015,2024042417321214242,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532857758,2022042903140918017,2024042417321214242,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13974,74,0,0,0xed6f7b4d,2023091414532858254,2022042902461807578,2024042417321214834,496,-679110439,592,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13973,1,99.992,0.008
1,31,23040015,2024042417321224274,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532867794,2022042903140928048,2024042417321224274,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13975,75,0,0,0xf1b44d35,2023091414532868107,2022042902461817431,2024042417321224911,313,-679110617,637,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13974,1,99.992,0.008
1,31,23040015,2024042417321234286,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532877817,2022042903140938058,2024042417321234286,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13976,76,0,0,0xe1fdc370,2023091414532878203,2022042902461827529,2024042417321234999,386,-679110529,713,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13975,1,99.992,0.008
1,31,23040015,2024042417321244314,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532887855,2022042903140948092,2024042417321244314,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13977,77,0,0,0x5b1ce33c,2023091414532888108,2022042902461837434,2024042417321245080,253,-679110658,766,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13976,1,99.992,0.008
1,31,23040015,2024042417321254343,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532897876,2022042903140958121,2024042417321254343,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13978,78,0,0,0xe944d2f5,2023091414532898963,2022042902461848292,2024042417321256168,1087,-679109829,1825,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13977,1,99.992,0.008
1,31,23040015,2024042417321264355,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532907985,2022042903140968147,2024042417321264355,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13979,79,0,0,0xbdf552aa,2023091414532908502,2022042902461857828,2024042417321265244,517,-679110319,889,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13978,1,99.992,0.008
1,31,23040015,2024042417321274366,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532917890,2022042903140978139,2024042417321274366,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13980,80,0,0,0x26e0dd3e,2023091414532918853,2022042902461868180,2024042417321276338,963,-679109959,1972,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13979,1,99.992,0.008
